A2M NP_000005.3
ACTG2 NP_001606.1
ACTL6A NP_004292.1
ACTL6B NP_057272.1
ACTL7A NP_006678.1
ACTL9 NP_848620.3
ACTN1 NP_001093.1
ACTN2 NP_001094.1
ACTN4 NP_004915.2
ACTR3 NP_005712.1
ACTR5 NP_079131.3
ACTRT1 NP_612146.1
ACTRT3 NP_115876.3
ACVR1 NP_001104537.1
ACVR2A NP_001607.1
ACVR2B NP_001097.2
ACVRL1 NP_000011.2
ACY1 NP_000657.1
ADA NP_000013.2
ADA2 NP_001269154.1
ADAD1 NP_001152757.1
ADAM12 NP_003465.3
ADAM15 NP_997080.1
ADAM17 NP_003174.3
ADAM18 NP_055052.1
ADAM19 NP_150377.1
ADAM2 NP_001455.3
ADAM22 NP_068369.1
ADAM28 NP_055080.2
ADAM32 NP_659441.4
ADAM33 NP_079496.1
ADAM8 NP_001100.3
ADAM9 NP_003807.1
ADAMDEC1 NP_055294.1
ADAMTS1 NP_008919.3
ADAMTS10 NP_112219.3
ADAMTS13 NP_620594.1
ADAMTS14 NP_631894.2
ADAMTS15 NP_620686.1
ADAMTS16 NP_620687.2
ADAMTS17 NP_620688.2
ADAMTS18 NP_955387.1
ADAMTS2 NP_055059.2
ADAMTS4 NP_005090.3
ADAMTS5 NP_008969.2
ADAMTS6 NP_922932.2
ADAMTS7 NP_055087.2
ADAMTS8 NP_008968.4
ADAMTS9 NP_891550.1
ADAMTSL2 NP_055509.2
ADAMTSL3 NP_997400.2
ADAR NP_001102.3
ADARB2 NP_061172.1
ADCY1 NP_066939.1
ADCY10 NP_060887.2
ADCY6 NP_056085.1
ADCY7 NP_001105.1
ADD2 NP_001608.1
ADD3 NP_058432.1
ADGB NP_078970.3
ADGRA3 NP_660333.2
ADGRB2 NP_001281264.1
ADGRB3 NP_001695.2
ADGRD1 NP_942122.2
ADGRD2 XP_006717411.2
ADGRE1 NP_001965.3
ADGRE5 NP_510966.1
ADGRG1 NP_958933.1
ADGRG5 NP_001291305.1
ADGRG6 NP_940971.2
ADGRL2 NP_036434.1
ADGRL3 NP_056051.2
ADH1B NP_000659.2
ADH1C NP_000660.1
ADH6 NP_001095940.1
ADH7 NP_000664.2
ADIPOR2 NP_078827.2
ADK NP_006712.2
ADNP NP_001269460.1
ADNP2 NP_055728.1
ADORA1 NP_000665.1
ADORA2A NP_000666.2
ADORA2B NP_000667.1
ADPRHL1 NP_612439.2
ADPRS NP_060295.1
ADRA1A NP_000671.2
ADRA2C NP_000674.2
ADRB1 NP_000675.1
ADRB2 NP_000015.1
ADRB3 NP_000016.1
ADSS1 NP_954634.1
AEBP1 NP_001120.3
AFAP1L1 NP_689619.1
AFF1 NP_005926.1
AFF2 NP_002016.2
AFF3 NP_001373064.1
AFG3L2 NP_006787.2
AFM NP_001124.1
AFMID NP_001010982.2
AFP NP_001125.1
AFTPH NP_982261.2
AGA NP_000018.2
AGBL3 NP_848658.3
AGBL5 NP_068603.4
AGER NP_001127.1
AGFG1 NP_001128659.1
AGFG1 NP_004495.2
AGFG2 NP_006067.3
AGGF1 NP_060516.2
AGK NP_060708.1
AGL NP_000633.2
AGMAT NP_079034.3
AGO3 NP_079128.2
AGPAT2 NP_006403.2
AGPAT3 NP_064517.1
AGPAT5 NP_060831.2
AGT NP_000020.1
AGTR2 NP_000677.2
AGTRAP NP_065083.3
AGXT NP_000021.1
AGXT2 NP_114106.1
AHCY NP_000678.1
AHI1 NP_001128303.1
AHR NP_001612.1
AHSP NP_057717.1
AICDA NP_065712.1
AIFM1 NP_004199.1
AIMP1 NP_001135888.2
AIP NP_003968.3
AIPL1 NP_055151.3
AIRE NP_000374.1
AK2 NP_001616.1
AKAP11 NP_057332.1
AKAP12 NP_005091.2
AKAP13 NP_006729.4
AKAP13 NP_009131.2
AKAP3 NP_001265238.2
AKAP5 NP_004848.3
AKAP6 NP_004265.3
AKR1A1 NP_697021.1
AKR1C4 NP_001809.3
AKR1D1 NP_005980.1
AKR1E2 NP_001035267.1
AKR7A2 NP_003680.2
AKR7A3 NP_036199.2
AKT3 NP_005456.1
ALAS1 NP_000679.1
ALAS2 NP_000023.2
ALB NP_000468.1
ALCAM NP_001618.2
ALDH16A1 NP_699160.2
ALDH18A1 NP_002851.2
ALDH1A1 NP_000680.2
ALDH1A2 NP_003879.2
ALDH1A3 NP_000684.2
ALDH1B1 NP_000683.3
ALDH1L1 NP_036322.2
ALDH2 NP_000681.2
ALDH3A1 NP_000682.3
ALDH3A2 NP_000373.1
ALDH4A1 NP_003739.2
ALDH5A1 NP_001071.1
ALDH7A1 NP_001173.2
ALDOB NP_000026.2
ALDOC NP_005156.1
ALG1 NP_001317433.1
ALG11 NP_001004127.2
ALG13 NP_001093392.1
ALG2 NP_149078.1
ALG6 NP_037471.2
ALOX12 NP_000688.2
ALOX12B NP_001130.1
ALOX15 NP_001131.3
ALOX15B NP_001132.2
ALOX5 NP_000689.1
ALPG NP_112603.2
ALPI NP_001622.2
ALPK1 NP_079420.3
ALPK3 NP_065829.3
ALPL NP_000469.3
ALPP NP_001623.3
ALX1 NP_008913.2
ALX3 NP_006483.2
ALX4 NP_068745.2
AMACR NP_055139.4
AMER3 NP_689911.2
AMFR NP_001135.3
AMH NP_000470.3
AMHR2 NP_065434.1
AMN NP_112205.2
AMOT NP_001106962.1
AMOTL2 NP_057285.3
AMPD2 NP_001355738.1
AMPD2 NP_631895.1
AMPD3 NP_000471.1
AMPD3 NP_001020560.1
AMT NP_000472.2
AMY1C NP_001008220.1
AMY2A NP_000690.1
AMZ1 NP_001371672.1
AMZ1 NP_597720.1
AMZ2 NP_057711.3
ANG NP_001091046.1
ANGPT1 NP_001137.2
ANGPT2 NP_001112359.1
ANGPTL3 NP_055310.1
ANGPTL4 NP_647475.1
ANGPTL5 NP_835228.2
ANK1 NP_000028.3
ANK1 NP_001135918.1
ANKAR NP_653309.3
ANKDD1A NP_874362.3
ANKDD1B NP_001263642.1
ANKHD1-EIF4EBP3 NP_065741.3
ANKK1 NP_848605.1
ANKLE1 NP_689576.6
ANKLE2 NP_055929.1
ANKRD1 NP_055206.2
ANKRD11 NP_037407.4
ANKRD12 NP_056023.3
ANKRD13A NP_149112.1
ANKRD17 NP_115593.3
ANKRD18A NP_671728.2
ANKRD20A1 NP_115626.2
ANKRD24 NP_001380914.1
ANKRD26 NP_055730.2
ANKRD27 NP_115515.2
ANKRD30A NP_443723.3
ANKRD30B NP_001354536.1
ANKRD31 NP_001358982.1
ANKRD34C NP_001139813.1
ANKRD35 NP_653299.4
ANKRD49 NP_060174.2
ANKRD53 NP_001108588.1
ANKRD55 NP_078945.2
ANKS1A NP_056060.2
ANKS1B NP_690001.3
ANKS3 NP_597707.1
ANKS4B NP_665872.2
ANKS6 NP_775822.3
ANKZF1 NP_060559.2
ANLN NP_061155.2
ANO1 NP_060513.5
ANO10 NP_060545.3
ANO2 NP_001265525.1
ANO3 NP_113606.2
ANO4 NP_001273544.1
ANO4 NP_849148.2
ANO5 NP_998764.1
ANO6 NP_001020527.2
ANOS1 NP_000207.2
ANP32B NP_006392.1
ANTXR1 NP_115584.1
ANTXR2 NP_477520.2
ANXA10 NP_009124.2
ANXA11 NP_665875.1
ANXA13 NP_001003954.1
ANXA3 NP_005130.1
ANXA4 NP_001144.1
ANXA5 NP_001145.1
ANXA6 NP_001146.2
AOC1 NP_001082.2
AOC2 NP_033720.2
AOC3 NP_003725.1
AOX1 NP_001150.3
AP2M1 NP_004059.2
AP3B1 NP_003655.3
AP3B2 NP_004635.2
AP3D1 NP_001248755.1
AP4B1 NP_001240781.1
AP4E1 NP_031373.2
AP4M1 NP_004713.2
AP5M1 NP_060699.3
AP5Z1 NP_055670.1
APAF1 NP_863651.1
APBB1IP NP_061916.3
APC NP_000029.2
APC2 NP_005874.1
APCDD1L NP_699191.1
APCS NP_001630.1
APEH NP_001631.3
APEX1 NP_001632.2
APEX2 NP_055296.2
APH1B NP_112591.2
APLNR NP_005152.1
APLP1 NP_001019978.1
APOA1 NP_000030.1
APOBEC2 NP_006780.1
APOBEC3C NP_055323.2
APOBEC3F NP_660341.2
APOBEC4 NP_982279.1
APOC2 NP_000474.2
APOE NP_000032.1
APOH NP_000033.2
APOL3 NP_663615.1
APOLD1 NP_110444.3
APP NP_000475.1
APRT NP_000476.1
APTX XP_016870320.1
AQP2 NP_000477.1
AQP4 NP_001641.1
AQP6 NP_001643.2
AQP7 NP_001161.1
AR NP_000035.2
ARAF NP_001645.1
ARAP1 NP_001035207.1
ARAP2 NP_056045.2
ARCN1 NP_001646.2
ARF1 NP_001649.1
ARFGAP3 NP_055385.3
ARFGEF1 NP_006412.2
ARFGEF2 NP_006411.2
ARFGEF3 NP_065073.3
ARFRP1 NP_001254476.1
ARG1 NP_000036.2
ARG2 NP_001163.1
ARHGAP1 NP_004299.1
ARHGAP11A NP_055598.1
ARHGAP12 NP_060757.4
ARHGAP15 NP_060930.3
ARHGAP17 NP_001006635.1
ARHGAP18 NP_277050.2
ARHGAP20 NP_001371586.1
ARHGAP21 NP_001354381.1
ARHGAP21 NP_001354384.1
ARHGAP22 NP_067049.2
ARHGAP24 NP_001020787.2
ARHGAP25 NP_001351748.1
ARHGAP26 NP_001129080.1
ARHGAP29 NP_004806.3
ARHGAP32 NP_001136157.1
ARHGAP35 NP_004482.4
ARHGAP4 NP_001657.3
ARHGAP44 NP_055674.4
ARHGAP45 NP_036424.2
ARHGAP8 NP_001017526.1
ARHGEF10 NP_055444.2
ARHGEF10L NP_060595.3
ARHGEF12 NP_056128.1
ARHGEF15 NP_776089.2
ARHGEF16 NP_055263.2
ARHGEF17 NP_055601.2
ARHGEF19 NP_694945.2
ARHGEF26 NP_056410.3
ARHGEF37 NP_001001669.2
ARHGEF38 NP_001229658.1
ARHGEF40 NP_060541.3
ARHGEF6 NP_004831.1
ARID1A NP_006006.3
ARID2 NP_689854.2
ARID4A NP_002883.3
ARID5B NP_115575.1
ARL13B NP_001167621.1
ARL14EP NP_689529.1
ARL16 NP_001035114.1
ARL17A NP_001107210.1
ARL2BP NP_036238.1
ARL4A NP_005729.1
ARL6 NP_001265222.1
ARMC12 NP_659465.2
ARMC2 NP_115507.4
ARMC3 NP_775104.2
ARMC5 NP_001098717.1
ARMC9 NP_001339683.2
ARMH1 NP_001139108.1
ARMT1 NP_078849.1
ARNTL2 NP_064568.3
ARPC1B NP_005711.1
ARR3 NP_004303.2
ARRDC2 NP_056498.1
ARRDC4 NP_899232.2
ARSA NP_000478.3
ARSB NP_000037.2
ARSD NP_001660.2
ARSG NP_055775.2
ARSH NP_001011719.1
ARSI NP_001012301.1
ARSJ NP_078866.3
ARSL NP_000038.2
ART3 NP_001123488.1
ART5 NP_443750.2
ARVCF NP_001661.1
ARX NP_620689.1
ASAH1 NP_808592.2
ASB10 NP_001135931.2
ASB11 NP_543149.1
ASB15 NP_001277187.1
ASB16 NP_543139.4
ASB2 NP_001189358.1
ASB2 NP_057234.2
ASB7 NP_937886.1
ASCC1 NP_001185729.1
ASCC2 NP_115580.2
ASCC3 NP_006819.2
ASF1A NP_054753.1
ASGR2 NP_001172.1
ASH2L NP_004665.2
ASIC3 NP_004760.1
ASIC4 NP_878267.2
ASL NP_000039.2
ASMT NP_001164509.1
ASNS NP_001664.3
ASPA NP_000040.1
ASPG NP_001073933.2
ASPH NP_004309.2
ASRGL1 NP_001077395.1
ASS1 NP_446464.1
ASTL NP_001002036.3
ASTN1 NP_004310.1
ASXL1 NP_056153.2
ASXL2 NP_060733.4
ASXL3 NP_085135.1
ATAD2B NP_060022.2
ATAD5 NP_079133.3
ATF4 NP_001666.2
ATF6 NP_031374.2
ATF6B NP_004372.3
ATF7IP NP_060649.3
ATF7IP2 NP_001380648.1
ATG13 NP_001136145.1
ATG3 NP_071933.2
ATG4A NP_443168.2
ATG4D NP_116274.3
ATG5 NP_004840.1
ATG7 NP_006386.1
ATIC NP_004035.2
ATL1 NP_001121185.1
ATL1 NP_056999.2
ATL3 NP_056274.3
ATM NP_000042.3
ATN1 NP_001931.2
ATP10A NP_077816.1
ATP10D NP_065186.3
ATP11A NP_115565.3
ATP11B NP_055431.1
ATP11C NP_001010986.2
ATP12A NP_001667.4
ATP13A1 NP_065143.2
ATP13A2 NP_071372.1
ATP13A4 NP_115655.2
ATP1A1 NP_000692.2
ATP1A2 NP_000693.1
ATP1A4 NP_653300.2
ATP1B2 NP_001669.3
ATP2A1 NP_004311.1
ATP2A1 NP_775293.1
ATP2A2 NP_733765.1
ATP2A3 NP_005164.2
ATP2B2 NP_001001331.1
ATP2B3 NP_001001344.1
ATP2B4 NP_001675.3
ATP2C1 NP_001001486.1
ATP2C1 NP_055197.2
ATP2C2 NP_055676.3
ATP5F1A NP_004037.1
ATP5F1C NP_001001973.1
ATP5IF1 NP_057395.1
ATP5MC3 NP_001680.1
ATP6V0A1 NP_001123492.1
ATP6V0A2 NP_036595.2
ATP6V0A4 NP_065683.2
ATP6V0D2 NP_689778.1
ATP6V1A NP_001681.2
ATP6V1B1 NP_001683.2
ATP6V1B2 NP_001684.2
ATP6V1C1 NP_001686.1
ATP6V1C2 NP_001034451.1
ATP6V1G1 NP_004879.1
ATP7A NP_000043.4
ATP7B NP_000044.2
ATP8A2 NP_001300670.1
ATP8B1 NP_005594.2
ATP8B4 NP_079113.2
ATP9B NP_940933.3
ATPAF2 NP_663729.1
ATR NP_001175.2
ATRIP NP_569055.1
ATRN NP_647537.1
ATRNL1 NP_997186.1
ATXN10 NP_037368.1
ATXN1L NP_001131147.1
ATXN7 NP_001364334.1
AUH NP_001689.1
AURKB NP_004208.2
AURKC NP_001015878.1
AVIL NP_006567.3
AVP NP_000481.2
AVPR1A NP_000697.1
AVPR1B NP_000698.1
AVPR2 NP_000045.1
AXIN2 NP_004646.3
AXL NP_068713.2
AZGP1 NP_001176.1
AZIN2 NP_443724.1
B2M NP_004039.1
B3GALT6 NP_542172.2
B3GAT3 NP_036332.2
B3GLCT NP_919299.3
B3GNT3 NP_055071.2
B3GNT6 NP_619651.3
B4GALNT1 NP_001469.1
B4GALNT3 NP_775864.3
B4GALT1 NP_001488.2
B4GALT7 NP_009186.1
B9D1 NP_056496.1
B9D2 NP_085055.2
BAAT NP_001692.1
BAG1 NP_004314.6
BAG3 NP_004272.2
BAHD1 NP_055767.3
BAIAP3 NP_003924.2
BAK1 NP_001179.1
BAMBI NP_036474.1
BAP1 NP_004647.1
BARD1 NP_000456.2
BATF NP_006390.1
BAX NP_620116.1
BAZ2A NP_038477.2
BBS1 NP_078925.3
BBS12 NP_689831.2
BBS2 NP_114091.3
BBS2 NP_114091.4
BBS4 NP_149017.2
BBS5 NP_689597.1
BBS7 NP_789794.1
BBS9 NP_940820.1
BBX NP_001136040.1
BCAM NP_005572.2
BCAN NP_068767.3
BCAP31 NP_001243376.1
BCAR3 NP_003558.1
BCAS3 NP_060149.3
BCAS4 NP_060313.3
BCAT2 NP_001181.2
BCHE NP_000046.1
BCKDHA NP_000700.1
BCKDHB NP_898871.1
BCL10 NP_003912.1
BCL11B NP_612808.1
BCL2L13 NP_056182.2
BCL2L14 NP_620049.1
BCL3 NP_005169.2
BCL6 NP_001697.2
BCL9 NP_004317.2
BCO1 NP_059125.2
BCR NP_004318.3
BCS1L NP_001073335.1
BDH1 NP_976059.1
BDH2 NP_064524.3
BDKRB1 NP_000701.2
BDP1 NP_060899.2
BECN2 NP_001277622.1
BEST1 NP_004174.1
BEST2 NP_060152.2
BFAR NP_057645.1
BFSP1 NP_001186.1
BFSP2 NP_003562.1
BGLAP NP_954642.1
BGN NP_001702.1
BHMT NP_001704.2
BHMT2 NP_060084.2
BICC1 NP_001073981.1
BICD2 NP_001003800.1
BICRAL NP_001380428.1
BIN1 NP_647593.1
BIRC3 NP_001156.1
BLK NP_001706.2
BLM NP_000048.1
BLVRA NP_000703.2
BLVRB NP_000704.1
BMI1 NP_005171.4
BMP1 NP_006120.1
BMP10 NP_055297.1
BMP15 NP_005439.2
BMP2 NP_001191.1
BMP3 NP_001192.3
BMP3 NP_001192.4
BMP4 NP_001193.2
BMP6 NP_001709.1
BMP7 NP_001710.1
BMP8A NP_861525.2
BMP8B NP_001711.2
BMPR1A NP_004320.2
BMPR1B NP_001194.1
BMPR2 NP_001195.2
BMS1 NP_055568.3
BMT2 NP_689769.2
BNC1 NP_001708.3
BNC2 NP_060107.3
BOC NP_001288790.1
BOC NP_001365003.1
BOD1L1 NP_683692.2
BOLL NP_932074.1
BOP1 NP_056016.1
BPHL NP_004323.2
BPIFA1 NP_570913.1
BPIFA3 NP_848561.2
BPIFB1 NP_149974.2
BPIFB2 NP_079503.1
BPIFB4 NP_872325.2
BPIFB6 NP_777557.1
BPNT2 NP_060283.3
BPTF NP_872579.2
BRAF NP_004324.2
BRAT1 NP_689956.2
BRCA1 NP_009225.1
BRD2 NP_005095.1
BRD8 NP_631938.2
BRDT NP_997072.2
BRINP2 NP_066988.1
BRINP3 NP_950252.1
BRIP1 NP_114432.2
BRIX1 NP_060791.3
BRK1 NP_060932.2
BRMS1 NP_056214.1
BRPF1 NP_001003694.1
BRSK2 NP_001243556.1
BRWD3 NP_694984.5
BSCL2 NP_116056.3
BSDC1 NP_060515.3
BSND NP_476517.1
BSPRY NP_060158.2
BST1 NP_004325.2
BTAF1 NP_003963.1
BTBD11 NP_001018082.1
BTBD16 NP_653188.2
BTBD2 NP_060267.2
BTBD3 NP_055777.1
BTC NP_001720.1
BTD NP_001357587.1
BTK NP_000052.1
BTN1A1 NP_001723.2
BTN2A2 NP_008926.2
BTN3A3 NP_008925.1
BTNL2 NP_001291490.1
BTNL3 NP_932079.1
BTNL9 NP_689760.2
BTRC NP_378663.1
BUB1 NP_004327.1
BUB1B NP_001202.5
BVES NP_001186492.1
BYSL NP_004044.3
C10orf53 NP_872360.2
C10orf71 NP_001128668.1
C11orf1 NP_073598.1
C11orf40 XP_035716991.1
C11orf53 XP_011541106.1
C11orf65 NP_689800.3
C12orf4 NP_065107.1
C12orf40 NP_001026918.2
C12orf65 NP_689482.1
C12orf66 NP_689653.4
C14orf28 NP_001017923.1
C15orf39 NP_056307.3
C15orf62 NP_001123920.1
C16orf46 NP_689550.2
C16orf78 NP_653203.1
C17orf64 NP_859058.2
C17orf80 NP_001338193.2
C17orf99 NP_001156547.1
C18orf25 NP_659492.1
C18orf54 NP_001275909.1
C19orf38 NP_001129954.1
C1GALT1 NP_064541.1
C1GALT1C1 NP_001011551.1
C1QA NP_057075.1
C1QB NP_000482.3
C1QC NP_758957.2
C1QTNF12 NP_001014980.1
C1QTNF5 NP_001265360.1
C1R NP_001724.4
C1S NP_001725.1
C1orf112 NP_001306976.1
C1orf116 NP_076427.2
C1orf146 NP_001012425.1
C1orf94 NP_001128206.1
C2 NP_000054.2
C21orf91 NP_001093890.1
C2CD3 NP_001273506.1
C2orf16 NP_115642.3
C2orf42 NP_060350.1
C2orf74 NP_001137431.2
C3 NP_000055.2
C4A NP_009224.2
C4BPA NP_000706.1
C5 NP_001726.2
C5AR2 NP_001258678.1
C5orf22 NP_060826.2
C5orf24 NP_001129058.1
C5orf34 NP_940968.1
C5orf52 NP_001138604.1
C5orf58 XP_016864521.1
C6 NP_000056.2
C6orf118 NP_659417.2
C6orf58 NP_001010905.1
C7 NP_000578.2
C7orf31 NP_620166.3
C7orf33 NP_660347.1
C7orf57 NP_001093629.1
C8A NP_000553.1
C8B NP_000057.3
C8G NP_000597.2
C8orf37 NP_808880.1
C8orf48 NP_001007091.2
C8orf74 NP_001035121.2
C9 NP_001728.1
C9orf135 NP_001010940.1
C9orf43 NP_001265558.1
C9orf47 NP_001135885.1
C9orf64 NP_115683.3
C9orf72 NP_060795.1
C9orf85 NP_872311.2
CA1 NP_001122303.1
CA12 NP_001209.1
CA13 NP_940986.1
CA14 NP_036245.1
CA2 NP_000058.1
CA4 NP_000708.1
CA5A NP_001730.1
CA7 NP_005173.1
CA8 NP_004047.3
CAB39 NP_057373.1
CABIN1 NP_036427.1
CABP2 NP_057450.2
CABP4 NP_660201.1
CACHD1 NP_065976.3
CACNA1A NP_001120693.1
CACNA1C NP_000710.5
CACNA1D NP_000711.1
CACNA1E NP_000712.2
CACNA1E NP_001192222.1
CACNA1F NP_005174.2
CACNA1I NP_066919.2
CACNA1S NP_000060.2
CACNA2D1 NP_000713.2
CACNA2D2 NP_001167522.1
CACNA2D3 NP_060868.2
CACNA2D4 NP_758952.4
CACNB3 NP_000716.2
CACNB4 NP_000717.2
CADPS NP_003707.2
CADPS2 NP_001009571.2
CADPS2 NP_060424.9
CALCA NP_001732.1
CALCR NP_001733.1
CALCRL NP_005786.1
CALD1 NP_149129.2
CALHM1 NP_001001412.3
CALHM2 NP_057000.2
CALHM5 NP_714922.1
CALHM6 NP_001010919.1
CALM1 NP_008819.1
CALM2 NP_001734.1
CALML3 NP_005176.1
CALML6 NP_619650.2
CALR NP_004334.1
CALR3 NP_659483.2
CAMK1D NP_705718.1
CAMK2B NP_001211.3
CAMK2D NP_001308500.1
CAMK4 NP_001735.1
CAMLG NP_001736.1
CAMSAP2 NP_982284.1
CAMTA2 NP_055914.2
CAND2 NP_001155971.1
CANT1 NP_001153245.1
CANX NP_001737.1
CAPG NP_001738.2
CAPN1 NP_005177.2
CAPN10 NP_075571.2
CAPN11 NP_008989.2
CAPN14 NP_001138594.1
CAPN15 NP_005623.1
CAPN2 NP_001739.3
CAPN3 NP_000061.1
CAPN3 NP_077320.1
CAPN5 NP_004046.2
CAPN6 NP_055104.2
CAPN9 NP_006606.1
CAPNS2 NP_115706.1
CAPSL NP_001036090.1
CAPZA1 NP_006126.1
CARD11 NP_115791.3
CARD9 NP_434700.2
CARF NP_079020.13
CARMIL2 NP_001013860.1
CARMIL3 NP_612369.3
CARNS1 NP_065862.1
CARS2 NP_078813.1
CARTPT NP_004282.1
CASK NP_003679.2
CASP1 NP_001244047.1
CASP10 NP_116759.2
CASP14 NP_036246.1
CASP3 NP_004337.2
CASP4 NP_001216.1
CASP5 NP_001129584.1
CASP9 NP_001220.2
CASQ1 NP_001222.3
CASQ2 NP_001223.2
CASR NP_000379.3
CASS4 NP_001157588.1
CASS4 NP_065089.2
CAT NP_001743.1
CATSPER1 NP_444282.3
CATSPER2 NP_742093.1
CATSPER3 NP_821138.1
CATSPERD NP_689997.3
CATSPERE NP_001124429.1
CAV1 NP_001744.2
CAV3 NP_203123.1
CAVIN1 NP_036364.2
CAVIN2 NP_004648.1
CAVIN4 NP_001018126.1
CBFA2T2 NP_001028171.1
CBFA2T3 NP_005178.4
CBL NP_005179.2
CBLB NP_733762.2
CBLC NP_036248.3
CBLIF NP_005133.2
CBR1 NP_001748.1
CBR3 NP_001227.1
CBS NP_000062.1
CBWD1 NP_060961.3
CC2D1A NP_060191.3
CC2D1B NP_001317514.1
CC2D1B NP_115825.1
CCAR2 NP_001380926.1
CCAR2 NP_066997.3
CCBE1 NP_597716.1
CCDC102B NP_079057.3
CCDC103 NP_998772.1
CCDC112 NP_001035530.1
CCDC113 NP_054876.2
CCDC116 NP_689825.2
CCDC117 NP_775781.1
CCDC120 NP_001156793.2
CCDC126 NP_620126.2
CCDC136 NP_073579.5
CCDC138 NP_659415.1
CCDC150 NP_001074008.1
CCDC170 NP_079335.2
CCDC171 NP_775821.2
CCDC173 NP_001078916.1
CCDC185 NP_689823.2
CCDC24 NP_689712.1
CCDC27 NP_689705.2
CCDC33 NP_079331.3
CCDC39 NP_852091.1
CCDC40 NP_060420.2
CCDC47 NP_064583.2
CCDC50 NP_848018.1
CCDC51 NP_001243893.1
CCDC60 NP_848594.2
CCDC65 NP_149115.2
CCDC66 NP_001135419.1
CCDC69 NP_056436.2
CCDC7 NP_001381944.1
CCDC78 NP_001026907.2
CCDC80 NP_955805.1
CCDC83 NP_775827.2
CCDC85C NP_001138467.1
CCDC91 NP_060788.3
CCHCR1 NP_001099034.1
CCL11 NP_002977.1
CCL21 NP_002980.1
CCL22 NP_002981.2
CCL25 NP_005615.2
CCL27 NP_006655.1
CCL8 NP_005614.2
CCN1 NP_001545.2
CCN2 NP_001892.1
CCN2 NP_001892.2
CCN3 NP_002505.1
CCN4 NP_003873.1
CCN5 NP_003872.1
CCNA2 NP_001228.2
CCND2 NP_001750.1
CCNF NP_001752.2
CCNG2 NP_004345.1
CCNH NP_001230.1
CCNO NP_066970.3
CCNQ NP_689487.2
CCNT2 NP_490595.1
CCNYL1 NP_001135772.1
CCP110 NP_001310501.1
CCR1 NP_001286.1
CCR10 NP_057686.2
CCR3 NP_847899.1
CCR4 NP_005499.1
CCS NP_005116.1
CCSER1 NP_001138537.1
CCSER2 NP_001271169.1
